tconst	primaryTitle
tt0000001	Carmencita
tt0000002	Le clown et ses chiens
tt0000003	Pauvre Pierrot
tt0000004	Un bon bock
tt0000005	Blacksmith Scene
tt0000006	Chinese Opium Den
tt0000007	Corbett and Courtney Before the Kinetograph
tt0000008	Edison Kinetoscopic Record of a Sneeze
tt0000009	Miss Jerry
tt0000010	Leaving the Factory
tt0000011	Akrobatisches Potpourri
tt0000012	The Arrival of a Train
tt0000013	The Photographical Congress Arrives in Lyon
tt0000014	The Waterer Watered
tt0000015	Autour d'une cabine
tt0000016	Boat Leaving the Port
tt0000017	Italienischer Bauerntanz
tt0000018	Das boxende Känguruh
tt0000019	The Clown Barber
